Trading_Code,Date,Open,High,Low,Close,Volume
CAPITECGBF,2024-04-22,9.7,9.9,9.5,9.7,407138.0
CAPITECGBF,2024-04-21,10.2,10.2,9.4,9.5,262059.0
CAPITECGBF,2024-04-18,10.4,10.5,9.6,9.7,398265.0
CAPITECGBF,2024-04-17,10.8,11.0,10.2,10.3,427154.0
CAPITECGBF,2024-04-16,9.7,10.4,9.5,10.4,1010316.0
CAPITECGBF,2024-04-15,9.8,9.8,9.4,9.5,71227.0
CAPITECGBF,2024-04-09,9.5,10.0,9.5,9.9,187842.0
CAPITECGBF,2024-04-08,9.5,9.7,9.5,9.6,43193.0
CAPITECGBF,2024-04-04,9.6,9.6,9.2,9.3,101000.0
CAPITECGBF,2024-04-03,9.6,9.6,9.4,9.5,31154.0
CAPITECGBF,2024-04-02,9.7,9.7,9.3,9.4,91399.0
CAPITECGBF,2024-04-01,9.9,9.9,9.5,9.5,56813.0
CAPITECGBF,2024-03-31,10.0,10.0,9.5,9.6,165321.0
CAPITECGBF,2024-03-28,9.6,9.8,9.4,9.6,70266.0
CAPITECGBF,2024-03-27,10.0,10.0,9.3,9.4,297578.0
CAPITECGBF,2024-03-25,10.2,10.2,9.7,9.8,169564.0
CAPITECGBF,2024-03-24,10.3,10.4,9.9,10.0,191866.0
CAPITECGBF,2024-03-21,10.3,10.5,10.0,10.3,220823.0
CAPITECGBF,2024-03-20,10.0,10.4,9.8,10.0,220971.0
CAPITECGBF,2024-03-19,10.0,10.0,9.8,9.9,170109.0
CAPITECGBF,2024-03-18,10.6,10.6,9.9,10.0,144153.0
CAPITECGBF,2024-03-14,10.6,10.6,10.1,10.2,110330.0
CAPITECGBF,2024-03-13,10.8,10.8,10.2,10.3,98415.0
CAPITECGBF,2024-03-12,10.7,10.8,10.4,10.4,183822.0
CAPITECGBF,2024-03-11,10.9,11.0,10.6,10.7,139193.0
CAPITECGBF,2024-03-10,10.8,11.0,10.8,10.8,104103.0
CAPITECGBF,2024-03-07,11.1,11.3,10.7,10.8,554978.0
CAPITECGBF,2024-03-06,11.3,11.3,11.0,11.0,252156.0
CAPITECGBF,2024-03-05,11.3,11.4,11.0,11.0,221376.0
CAPITECGBF,2024-03-04,11.2,11.3,11.1,11.2,173223.0
CAPITECGBF,2024-03-03,11.5,11.5,11.0,11.1,387225.0
CAPITECGBF,2024-02-29,11.4,11.5,11.1,11.2,438751.0
CAPITECGBF,2024-02-28,11.6,11.8,11.2,11.4,498046.0
CAPITECGBF,2024-02-27,11.2,11.8,11.2,11.6,799092.0
CAPITECGBF,2024-02-25,11.2,11.3,11.0,11.1,143993.0
CAPITECGBF,2024-02-22,11.3,11.3,11.0,11.0,692240.0
CAPITECGBF,2024-02-20,11.4,11.4,11.1,11.1,293140.0
CAPITECGBF,2024-02-19,11.5,11.5,11.1,11.2,661503.0
CAPITECGBF,2024-02-18,11.5,11.7,11.1,11.3,533149.0
CAPITECGBF,2024-02-15,11.8,12.1,11.4,11.4,640758.0
CAPITECGBF,2024-02-14,12.0,12.4,11.2,11.6,1175167.0
CAPITECGBF,2024-02-13,12.2,12.5,11.9,11.9,1154724.0
CAPITECGBF,2024-02-12,12.3,12.6,12.0,12.3,1493502.0
CAPITECGBF,2024-02-11,12.3,12.4,12.0,12.2,1139389.0
CAPITECGBF,2024-02-08,12.1,12.5,12.1,12.2,1557046.0
CAPITECGBF,2024-02-07,11.9,12.1,11.4,12.0,1311562.0
CAPITECGBF,2024-02-06,12.2,12.2,11.6,11.7,1101340.0
CAPITECGBF,2024-02-05,11.9,12.7,11.9,12.1,1855002.0
CAPITECGBF,2024-02-04,11.0,11.8,10.8,11.8,1086648.0
CAPITECGBF,2024-02-01,11.0,11.0,10.6,10.8,633194.0
CAPITECGBF,2024-01-31,11.0,11.1,10.7,10.8,428753.0
CAPITECGBF,2024-01-30,11.4,11.4,10.7,10.8,401855.0
CAPITECGBF,2024-01-29,11.3,11.3,10.8,11.0,570869.0
CAPITECGBF,2024-01-28,11.7,11.8,10.7,10.9,390358.0
CAPITECGBF,2024-01-25,11.6,11.8,11.2,11.3,508706.0
CAPITECGBF,2024-01-24,12.2,12.2,11.7,11.7,541397.0
CAPITECGBF,2024-01-23,12.3,12.5,11.8,12.0,711823.0
CAPITECGBF,2024-01-22,12.3,12.4,11.8,12.3,807855.0
CAPITECGBF,2024-01-21,11.5,12.2,11.5,11.8,484565.0
CAPITECGBF,2024-01-18,12.6,12.6,12.1,12.2,1174925.0
CAPITECGBF,2024-01-17,12.8,12.8,12.4,12.5,1206413.0
CAPITECGBF,2024-01-16,12.8,13.0,12.6,12.6,1645501.0
CAPITECGBF,2024-01-15,13.1,13.1,12.7,12.8,1242166.0
CAPITECGBF,2024-01-14,12.9,13.2,12.5,13.0,1883368.0
CAPITECGBF,2024-01-11,13.3,13.4,12.7,12.8,1809781.0
CAPITECGBF,2024-01-10,12.8,13.3,12.6,13.2,1951929.0
CAPITECGBF,2024-01-09,13.3,13.3,12.5,12.7,1619500.0
CAPITECGBF,2024-01-08,12.7,13.3,12.4,13.1,1980361.0
CAPITECGBF,2024-01-04,12.6,12.9,12.3,12.6,1513966.0
CAPITECGBF,2024-01-03,12.5,12.7,12.2,12.4,1000704.0
CAPITECGBF,2024-01-02,13.7,13.9,12.3,12.5,2624207.0
CAPITECGBF,2024-01-01,13.3,13.8,13.1,13.6,1657573.0
CAPITECGBF,2023-12-28,14.1,14.1,12.7,12.8,4021193.0
CAPITECGBF,2023-12-27,14.5,14.8,13.6,13.8,3662966.0
CAPITECGBF,2023-12-26,14.8,15.0,13.9,14.3,4502918.0
CAPITECGBF,2023-12-24,14.4,14.9,13.6,14.4,3931204.0
CAPITECGBF,2023-12-21,15.1,16.0,14.0,14.4,6664934.0
CAPITECGBF,2023-12-20,13.7,14.7,13.6,14.7,8128488.0
CAPITECGBF,2023-12-19,12.9,13.8,12.9,13.4,3403028.0
CAPITECGBF,2023-12-18,13.5,13.5,12.7,12.8,1901689.0
CAPITECGBF,2023-12-17,13.5,14.1,13.2,13.4,2929093.0
CAPITECGBF,2023-12-14,12.8,13.6,12.6,13.4,2661268.0
CAPITECGBF,2023-12-13,13.7,14.0,12.7,12.8,2548970.0
CAPITECGBF,2023-12-12,13.3,14.2,13.2,13.5,3353669.0
CAPITECGBF,2023-12-11,14.4,14.5,13.1,13.4,3873292.0
CAPITECGBF,2023-12-10,13.1,14.3,12.7,14.3,5483107.0
CAPITECGBF,2023-12-07,13.5,13.5,12.2,13.0,4635362.0
CAPITECGBF,2023-12-06,12.5,13.3,12.5,13.3,3860368.0
CAPITECGBF,2023-12-05,11.0,12.1,11.0,12.1,3172159.0
CAPITECGBF,2023-12-04,11.0,11.0,11.0,11.0,50244.0
CAPITECGBF,2023-12-03,11.0,11.0,11.0,11.0,23262.0
CAPITECGBF,2023-11-30,11.0,11.0,11.0,11.0,26826.0
CAPITECGBF,2023-11-29,11.0,11.2,11.0,11.0,1019709.0
CAPITECGBF,2023-11-28,11.0,11.2,11.0,11.0,1026292.0
CAPITECGBF,2023-11-27,11.3,11.5,11.0,11.0,1639855.0
CAPITECGBF,2023-11-26,11.7,11.9,11.1,11.2,2492260.0
CAPITECGBF,2023-11-23,12.2,12.4,11.6,11.7,2086931.0
CAPITECGBF,2023-11-22,11.5,12.5,11.5,12.2,2179369.0
CAPITECGBF,2023-11-21,11.7,11.9,11.2,11.5,2397175.0
CAPITECGBF,2023-11-20,12.3,12.4,11.6,11.7,2529393.0
CAPITECGBF,2023-11-19,12.4,12.9,11.9,12.1,2717428.0
CAPITECGBF,2023-11-16,12.9,13.2,12.3,12.4,3221701.0
CAPITECGBF,2023-11-15,13.3,13.8,12.7,12.9,4659669.0
CAPITECGBF,2023-11-14,12.1,13.0,11.9,13.0,3625085.0
CAPITECGBF,2023-11-13,12.7,13.3,11.7,11.9,5283038.0
CAPITECGBF,2023-11-12,14.0,14.1,12.6,12.7,4023544.0
CAPITECGBF,2023-11-09,13.3,15.0,12.7,13.8,6410843.0
CAPITECGBF,2023-11-08,14.5,15.5,13.8,13.8,8422075.0
CAPITECGBF,2023-11-07,15.6,17.7,15.3,15.3,4441937.0
CAPITECGBF,2023-11-06,17.0,18.1,17.0,17.0,4584138.0
CAPITECGBF,2023-11-05,18.8,18.8,18.8,18.8,17811.0
CAPITECGBF,2023-11-02,20.8,20.8,20.8,20.8,257254.0
CAPITECGBF,2023-11-01,27.9,28.1,23.1,23.1,710783.0
CAPITECGBF,2023-10-31,25.6,25.6,25.0,25.6,1660625.0
CAPITECGBF,2023-10-30,23.3,23.3,22.9,23.3,1248544.0
CAPITECGBF,2023-10-29,20.0,21.2,20.0,21.2,1163805.0
CAPITECGBF,2023-10-26,19.3,19.3,18.3,19.3,935058.0
CAPITECGBF,2023-10-25,17.5,17.6,17.5,17.6,359240.0
CAPITECGBF,2023-10-23,16.0,16.0,15.1,16.0,1819250.0
CAPITECGBF,2023-10-22,14.6,14.6,14.6,14.6,202190.0
CAPITECGBF,2023-10-19,13.3,13.3,13.3,13.3,138020.0
CAPITECGBF,2023-10-18,12.1,12.1,12.1,12.1,500000.0
CAPITECGBF,2023-10-17,11.0,11.0,11.0,11.0,1134100.0
